"text","retweet_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name","country_code","country","place_type","full_name","place_name","place_id","place_lat","place_lon","lat","lon","expanded_url","url"
"@poshamia @El_Bebeto Es por parte de la radio la bestia grupera.",0,FALSE,FALSE,"707625220912222208","poshamia","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Mar 09 17:52:54 +0000 2016","707593410496954368","140673348","es",0,FALSE,NA,"4828186263","CREADORA Y ADMINISTRADORA: @RICKYRICKMUNDO ❤ @ELMUNDODEHDMEMO❤ FAN DE: @Siggno❤ @MiStereoMusic❤ @El_Bebeto❤ @RioRomaMx❤",TRUE,"Wed Jan 20 01:31:32 +0000 2016",233,10,0,FALSE,NA,"DOLORES EDITA ESPINO","Mexico City","es",-21600,33,"DOLORES_EDITA","MX","México","city","Yecapixtla, Morelos",NA,NA,18.859481,-98.8606355,18.88184504,-98.86982426,NA,NA
"I'm at Paseo de Montejo in Mérida, YUC https://t.co/aENKARhLgt",0,FALSE,FALSE,"707625222862716928",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",FALSE,"Wed Mar 09 17:52:54 +0000 2016",NA,NA,"es",0,FALSE,"Mérida, Yucatán, México.","132706350","Sigue mi nariz y seras feliz.",TRUE,"Tue Apr 13 23:57:49 +0000 2010",6156,254,61,FALSE,NA,"Samantha Benois","Mexico City","es",-21600,228,"SamBenois","MX","México","city","Mérida, Yucatán",NA,NA,20.941035,-89.623611,20.98362965,-89.61796761,"https://www.swarmapp.com/c/h2aeNCWK5dw","https://t.co/aENKARhLgt"
"In the distance the rainbow shines #rainbow #rain #city #DF #mexico #nofilter @ Pueblo de la… https://t.co/TG6JTml5F2",0,FALSE,FALSE,"707625221914828800",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Wed Mar 09 17:52:54 +0000 2016",NA,NA,"en",2,FALSE,"Venezuela","105313263","20, Técnico medio electrónica, Escritor, músico, lingüista, Soñador.",TRUE,"Sat Jan 16 00:41:27 +0000 2010",9302,139,96,FALSE,"http://Soundcloud.com/franklinjeh","Joel Hernández","Caracas","en",-16200,274,"franklinjeh","MX","México","city","Coyoacán, Distrito Federal",NA,NA,19.328383,-99.15234,19.33310871,-99.14774231,"https://www.instagram.com/p/BCvcjvOudiu/","https://t.co/TG6JTml5F2"
"@Alexmusicvip grasias.  Por.  Seguirme @gerardoortiz164",0,FALSE,FALSE,"707625233839054848","Alexmusicvip","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Wed Mar 09 17:52:57 +0000 2016",NA,"812030887","es",0,FALSE,"leom","706474685396025344","Nose",TRUE,"Sun Mar 06 13:41:05 +0000 2016",26,7,50,FALSE,NA,"María dela  cruz",NA,"es",NA,53,"gerardoortiz164","MX","México","city","León, Guanajuato",NA,NA,21.09806,-101.601401,21.0914437,-101.7497213,NA,NA
"I'm at Plaza Satélite - @psatelite in Naucalpan, MEX https://t.co/kT3L5z12xB",0,FALSE,FALSE,"707625252512206849",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",FALSE,"Wed Mar 09 17:53:01 +0000 2016",NA,NA,"fr",2,FALSE,"Edo Mex","103020112",NA,TRUE,"Fri Jan 08 16:07:37 +0000 2010",6915,644,725,FALSE,NA,"Roro","Mountain Time (US & Canada)","es",-25200,770,"roy11go","MX","México","city","Naucalpan de Juárez, México",NA,NA,19.473794,-99.310428,19.51024499,-99.23435211,"https://www.swarmapp.com/c/0EA64JeiMrw","https://t.co/kT3L5z12xB"
"Prefiero tacos ������ (at @IHOP in Monterrey, NL) https://t.co/IQ7lasxsuC",0,FALSE,FALSE,"707625274217725955",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",FALSE,"Wed Mar 09 17:53:07 +0000 2016",NA,NA,"es",15,FALSE,"Tampipunk- Maderock","112927143","#tapatio #jaibo #atlista #trancer",TRUE,"Wed Feb 10 04:26:52 +0000 2010",84573,634,563,FALSE,"http://wordpress.com/ecazanova51","Enrique Casanova",NA,"es",NA,275,"ecazanova51","MX","México","city","Monterrey, Nuevo León",NA,NA,25.6417185,-100.2935915,25.73145571,-100.39499407,"https://www.swarmapp.com/c/6SGg2uPFtwA","https://t.co/IQ7lasxsuC"
"(Llueve)
#☔ #������ #������ @ San Luis Posoti https://t.co/gI3rOulHJh",0,FALSE,FALSE,"707625277367529472",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Wed Mar 09 17:53:07 +0000 2016",NA,NA,"es",32,FALSE,"(Nowhere)","17767090","El príncipe de las flores.",TRUE,"Mon Dec 01 00:43:05 +0000 2008",104319,692,7568,FALSE,"https://www.flickr.com/photos/altazor_08/","Arture","Mexico City","es",-21600,489,"altazor08","MX","México","city","San Luis Potosí, México",NA,NA,22.3111195,-100.955511,22.12840332,-100.91590523,"https://www.instagram.com/p/BCvclJOrgwU/","https://t.co/gI3rOulHJh"
"Si tu supieras lo que yo sufri por ti, teniendo que olvidarte sin saber porque",0,FALSE,FALSE,"707625301094739968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Wed Mar 09 17:53:13 +0000 2016",NA,NA,"es",0,FALSE,"Nuevo León, México","1324022960","Future engineer
bonjour",TRUE,"Wed Apr 03 06:57:40 +0000 2013",11495,230,2159,FALSE,NA,"MAB✨",NA,"es",NA,791,"mabelycorett","MX","México","city","Apodaca, Nuevo León",NA,NA,25.778679,-100.1687175,25.7646278,-100.1620923,NA,NA
"Casona antigua a los pies de la torre Mapfre, se dice por ahí que pertenece a la familia… https://t.co/v4CY7KESIK",0,FALSE,FALSE,"707625314155892736",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Wed Mar 09 17:53:16 +0000 2016",NA,NA,"es",7,FALSE,"Ciudad de México","332068926","Comunicólogo, Locutor y Publirrelacionista del Sector Financiero. IMER, Grupo Fórmula.",TRUE,"Sat Jul 09 05:02:44 +0000 2011",2082,226,448,FALSE,"http://tinyurl.com/haf4ra2#.VqkLtGTHaQI.twitter","Emmanuel Escobar","Mexico City","es",-21600,174,"eescobar90","MX","México","city","Cuauhtémoc, Distrito Federal",NA,NA,19.432836,-99.153366,19.42724074,-99.16711792,"https://www.instagram.com/p/BCvcmcHt9m1/","https://t.co/v4CY7KESIK"
"I'm at GNP Metro Sur in Benito Juárez, D.F. https://t.co/JPHH1xdAtp",0,FALSE,FALSE,"707625324666875905",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",FALSE,"Wed Mar 09 17:53:19 +0000 2016",NA,NA,"es",4,FALSE,"Mexico D.F.","158813874","Amante de la vida, disfruto lo que tengo, me apasiona lo que hago!! Capturo momentos que se convierten en imágenes. Fotógrafo Profesional.",TRUE,"Wed Jun 23 18:34:37 +0000 2010",5918,257,143,FALSE,"http://www.jonathancorona.webnode.mx","Jonathan Corona","Central Time (US & Canada)","es",-21600,249,"jonathancorona1","MX","México","city","Benito Juárez, Distrito Federal",NA,NA,19.380613,-99.1614805,19.37388726,-99.1683805,"https://www.swarmapp.com/c/2rnZNs2XRk3","https://t.co/JPHH1xdAtp"
"I'm at Explanada Principal - @fesaragonunam in Ciudad Nezahualcóyotl, MEX https://t.co/iHSk6Nfxs6",0,FALSE,FALSE,"707625385308102656",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",FALSE,"Wed Mar 09 17:53:33 +0000 2016",NA,NA,"es",12,FALSE,"Mèxico DF Tlahuac","103480173","Amor platónico de las solteras, tentación de las casadas, consuelo de las viudas y el deleite de las dejadas  ❤ Follow Me!!",TRUE,"Sun Jan 10 04:39:57 +0000 2010",24265,465,405,FALSE,NA,"faraón de Tlàhuac !!","Mountain Time (US & Canada)","es",-25200,764,"FaraonDeTlahuac","MX","México","city","Nezahualcóyotl, México",NA,NA,19.432722,-99.0170165,19.47477719,-99.04531026,"https://www.swarmapp.com/c/hhgbSvUxJ3C","https://t.co/iHSk6Nfxs6"
"jo'puta!!! ya me quiero ir!!! son unos ineptos!!! (@ Instituto de la Función Registral de Cuautitlan) https://t.co/UUwa4VtKpM",0,FALSE,FALSE,"707625426324234241",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",FALSE,"Wed Mar 09 17:53:43 +0000 2016",NA,NA,"es",0,FALSE,"Residencial del Campo Militar,","479821887","Hay que olvidar el pasado, vivir el presente y visualizar el futuro.",TRUE,"Tue Jan 31 20:16:36 +0000 2012",1943,285,418,FALSE,NA,"José Guzmán","Central Time (US & Canada)","es",-21600,705,"fleklt0zz","MX","México","city","Tultitlán, México",NA,NA,19.6302155,-99.130628,19.65670063,-99.17009552,"https://www.swarmapp.com/c/k5IG4mpS76y","https://t.co/UUwa4VtKpM"
"I'm at Restaurante @NicosMexico in Azcapotzalco, Distrito Federal https://t.co/z6niY15fIH",0,FALSE,FALSE,"707625427406331904",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",FALSE,"Wed Mar 09 17:53:43 +0000 2016",NA,NA,"es",9,FALSE,"Distrito Federal","87604418","Garnacheur Entrepreneur. Casi siempre en @caffe_18",TRUE,"Thu Nov 05 03:14:54 +0000 2009",20533,562,5724,FALSE,NA,"Fernando Del Villar","Central Time (US & Canada)","en",-21600,296,"FerchoDelvillar","MX","México","city","Azcapotzalco, Distrito Federal",NA,NA,19.4857835,-99.182126,19.46474614,-99.17777896,"https://www.swarmapp.com/c/0NlSBuotqz9","https://t.co/z6niY15fIH"
"Espere mucho por escuchar esto en vivo... Y lo admito... Llore ✨Raise my hands, Paint my spirit… https://t.co/0XUOGRz1zU",0,FALSE,FALSE,"707625434356129792",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Wed Mar 09 17:53:45 +0000 2016",NA,NA,"es",3,FALSE,"México","272018707","...And she's is free to fly... Music-Reader-Movie-Sports Lover, UNAM...Defeña forever!!!",TRUE,"Fri Mar 25 17:07:36 +0000 2011",22330,262,34284,FALSE,NA,"\_Cass_/","Mountain Time (US & Canada)","es",-25200,138,"CassQueen","MX","México","city","Iztacalco, Distrito Federal",NA,NA,19.399101,-99.096496,19.40527778,-99.09972222,"https://www.instagram.com/p/BCvcpJRo8Gt/","https://t.co/0XUOGRz1zU"
"Obras @ Fototeca de Veracuz ""Juan Malpica Mimendi"" https://t.co/Q3Urf4uvE0",0,FALSE,FALSE,"707625436847718401",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Wed Mar 09 17:53:45 +0000 2016",NA,NA,"es",8,FALSE,"Veracruz, Ver.","615862420","Bailarina de danza contemporánea, Prof. de Artísticas opción DANZA. Amante de su propia casa.",TRUE,"Sat Jun 23 06:13:40 +0000 2012",1280,68,42,FALSE,NA,"CamaleOn","Central Time (US & Canada)","es",-21600,34,"ReneeMylene","MX","México","city","Veracruz, Veracruz de Ignacio de la Llave",NA,NA,19.183953,-96.2293965,19.20023,-96.13828,"https://www.instagram.com/p/BCvcp8fzYlb/","https://t.co/Q3Urf4uvE0"
"I'm at Ingeniería en Computación Edificio A-2 in Nezahualcóyotl https://t.co/9v7jCXouYb",0,FALSE,FALSE,"707625446528180224",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",FALSE,"Wed Mar 09 17:53:48 +0000 2016",NA,NA,"es",12,FALSE,"Mèxico DF Tlahuac","103480173","Amor platónico de las solteras, tentación de las casadas, consuelo de las viudas y el deleite de las dejadas  ❤ Follow Me!!",TRUE,"Sun Jan 10 04:39:57 +0000 2010",24266,465,405,FALSE,NA,"faraón de Tlàhuac !!","Mountain Time (US & Canada)","es",-25200,764,"FaraonDeTlahuac","MX","México","city","Nezahualcóyotl, México",NA,NA,19.432722,-99.0170165,19.47443176,-99.04607141,"https://www.swarmapp.com/c/2i4c7T1aHvG","https://t.co/9v7jCXouYb"
"#Nevando en plena #Primavera ⛄⛄ @ Delphi Cableados https://t.co/62BQkQtijP",0,FALSE,FALSE,"707625470397784064",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Wed Mar 09 17:53:53 +0000 2016",NA,NA,"es",2,FALSE,"Zacatecas","125174108",NA,TRUE,"Sun Mar 21 23:39:54 +0000 2010",1338,85,72,FALSE,NA,"pablo garcia","Mountain Time (US & Canada)","es",-25200,324,"paggzac","MX","México","city","Guadalupe, Zacatecas",NA,NA,22.7666095,-102.4248865,22.746374,-102.5012,"https://www.instagram.com/p/BCvcqrvAYmd/","https://t.co/62BQkQtijP"
"(@ Comandancia Centro in Hermosillo, SON) https://t.co/8GhG9RCiic",0,FALSE,FALSE,"707625478887251969",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",FALSE,"Wed Mar 09 17:53:55 +0000 2016",NA,NA,"es",83,FALSE,"Hermosillo, Sonora.","193929032","Reportera policiaca y maestra en la UVM. Escúchame en Larsa Comunicaciones 88.9 y 101.1 FM, también en Radio Fórmula Sonora.",TRUE,"Thu Sep 23 00:40:15 +0000 2010",46830,5481,7796,FALSE,"http://priscilacardenas.com.mx","PRISCILA","Pacific Time (US & Canada)","es",-28800,994,"ctrl_alt_suprim","MX","México","city","Hermosillo, Sonora",NA,NA,28.9698625,-111.498181,29.08926667,-110.95277958,"https://www.swarmapp.com/c/l2YbGQ5Be2F","https://t.co/8GhG9RCiic"
"Hoy toco muy temprano ������������ #workout #running #noexcuses #happiness #wednesday @ Parque Las Americas https://t.co/9DAaqfVvck",0,FALSE,FALSE,"707625481135214592",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Wed Mar 09 17:53:56 +0000 2016",NA,NA,"es",8,FALSE,NA,"277650207",NA,TRUE,"Tue Apr 05 20:00:25 +0000 2011",650,83,48,FALSE,NA,"Karla Acevedo",NA,"es",NA,176,"karlamam","MX","México","city","Guadalupe, Nuevo León",NA,NA,25.6766035,-100.196134,25.64471056,-100.26876392,"https://www.instagram.com/p/BCvcrFDoxP2/","https://t.co/9DAaqfVvck"
"@luisgdigital @lharanda nomas falta que los prohíban tocar en fiestas y reuniones, y que encarcelen a los músicos que los tocan #SinPalabras",0,FALSE,FALSE,"707625494825410560","luisgdigital","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",FALSE,"Wed Mar 09 17:53:59 +0000 2016","707624565460115456","2850788781","es",10,FALSE,"San Pedro Coahuila ","305944732","Creo en un solo Dios |Master en Administración Pública, Psicólogo y Clown |Desfacedor de Entuertos|Internauta | A.C.T.S |Esposo y Padre.",TRUE,"Fri May 27 01:18:56 +0000 2011",3023,1036,966,FALSE,"http://www.omarcarrillomx.blogspot.com.mx","Omar E. CarrilloMata",NA,"es",NA,2013,"Omar_Carrillo_M","MX","México","city","San Pedro, Coahuila de Zaragoza",NA,NA,26.126401,-102.5496105,25.75859686,-102.99548702,NA,NA
"Ñam! (@ Los Bisquets Bisquets Obregón - @bisquetsobregon in México, DF) https://t.co/kXHAR0GdcY",0,FALSE,FALSE,"707625494225801217",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",FALSE,"Wed Mar 09 17:53:59 +0000 2016",NA,NA,"es",40,FALSE,"Guadalajara.","34168090","'Too Old To Be New, Too New To Be Classic.'",TRUE,"Wed Apr 22 03:33:13 +0000 2009",50997,973,11810,FALSE,"http://about.me/patzdk","Mar","Central Time (US & Canada)","en",-21600,584,"patzdk","MX","México","city","Cuauhtémoc, Distrito Federal",NA,NA,19.432836,-99.153366,19.44798681,-99.15289342,"https://www.swarmapp.com/c/4KTJKFngzMm","https://t.co/kXHAR0GdcY"
"Un poquito del #TablaoFlamenco este pasado sábado en tauroflamenco compartiendo con grandes… https://t.co/PeWOPtwIPG",0,FALSE,FALSE,"707625499523211264",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Wed Mar 09 17:54:00 +0000 2016",NA,NA,"es",33,FALSE,NA,"562875475","Flamenco Dancer/Teacher. I love music, the arts, travel, expression, nature and all that is created & shared authentically from soul to soul.",TRUE,"Wed Apr 25 13:18:21 +0000 2012",16390,224,196,FALSE,"http://www.facebook.com/sharonolveraflamenco.org","Sharon Olvera","Mexico City","en",-21600,194,"SOFlamenco","MX","México","city","Coyoacán, Distrito Federal",NA,NA,19.328383,-99.15234,19.34825612,-99.16081498,"https://www.instagram.com/p/BCvbt9TItAJ/","https://t.co/PeWOPtwIPG"
"Ya tengo hambre :( (@ Torre Vertice) https://t.co/jxFHDN3HN6",0,FALSE,FALSE,"707625506561245184",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",FALSE,"Wed Mar 09 17:54:02 +0000 2016",NA,NA,"es",41,FALSE,"Monterrey, México","159608706","No digo mentiras.",TRUE,"Fri Jun 25 21:29:34 +0000 2010",101621,1502,3705,FALSE,NA,"GorditaDeChicharrón","Monterrey","es",-21600,211,"cinthia_hermosa","MX","México","city","San Pedro Garza García, Nuevo León",NA,NA,25.6502875,-100.366033,25.64665333,-100.32362355,"https://www.swarmapp.com/c/c2VMkg87y7H","https://t.co/jxFHDN3HN6"
